NomPar;campagne;x;y;station_meteo
196_gers_2020;2020;0.439249;43.975678;3254
197_gers_2020;2020;0.448565;43.979828;3254
198_gers_2020;2020;0.449842;43.978217;3254
199_gers_2020;2020;0.459897;43.97933;3254
200_gers_2020;2020;0.523939;43.975563;3254
201_gers_2020;2020;0.547829;43.941696;3254
202_gers_2020;2020;0.549846;43.940839;3254
203_gers_2020;2020;0.554334;43.941172;3254
204_gers_2020;2020;0.555347;43.940302;3254
205_gers_2020;2020;0.560637;43.93995;3254
206_gers_2020;2020;0.531331;43.974596;3254
207_gers_2020;2020;0.547588;43.962369;3254
208_gers_2020;2020;0.467241;43.97877;3254
209_gers_2020;2020;0.465855;43.977769;3254
210_gers_2020;2020;0.534048;43.953547;3254
