;x;y;presence_effaroucheur;nb_sain;nb_tige;nb_coty;surface;ecartement;annee;cailloux;ID;region;adventice;inter_plant;effaroucheur;sol;nombre_segments;date;ravageurs;transect;nb_arrachees;nb_taupins;nb_limace;nb_lievre;sains;estim_dens;leves;viables;taux_lesions;taux_detruits
54;-0.52165499;46.10023858;NA;56363.63636;1038.961039;8311.688312;NA;77;2019;NA;76_PC_2019;PC;faible_pression;13;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;9.99000999;65714.28571;64675.32468;0.126482213;0.015810277
55;-0.77047001;46.23782505;NA;63513.51351;0;7837.837838;NA;74;2019;NA;99_PC_2019;PC;faible_pression;20;;inconnue;5;14/05/2019;Non;NA;NA;NA;NA;NA;NA;6.756756757;71351.35135;71351.35135;0.109848485;0
56;-0.77876822;46.13357343;NA;56712.32877;0;273.9726027;NA;73;2019;NA;18_PC_2019;PC;faible_pression;25;canon_gaz.confection_manuelle.Ballon_cerfs_volants;inconnue;5;24/04/2019;Non;NA;NA;NA;NA;NA;NA;5.479452055;56986.30137;56986.30137;0.004807692;0
57;0.752801081;43.74394978;NA;3750;500;25000;20.2;80;2019;NA;133_Gers_2019;GERS;faible_pression;NA;canon_gaz;argilo_calcaire;5;29/05/2019;Limaces;A;NA;NA;NA;NA;NA;NA;29250;28750;0.854700855;0.017094017
58;-0.54396182;46.22571345;NA;59354.83871;1612.903226;2903.225806;NA;62;2019;NA;14_PC_2019;PC;faible_pression;26;;inconnue;5;24/04/2019;Non;NA;NA;NA;NA;NA;NA;6.203473945;63870.96774;62258.06452;0.045454545;0.025252525
59;-0.55536816;46.08924822;NA;59333.33333;4000;6333.333333;NA;60;2019;NA;69_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;8.333333333;69666.66667;65666.66667;0.090909091;0.057416268
60;0.445870142;43.94532847;NA;27000;3000;12333.33333;2.1;60;2019;NA;95_Gers_2019;GERS;faible_pression;24;;limoneux.argileux;5;13/05/2019;Taupins;C;NA;NA;NA;NA;NA;6.944444444;42333.33333;39333.33333;0.291338583;0.070866142
61;-1.00311873;46.17698348;NA;15238.09524;380.952381;33714.28571;NA;75;2019;NA;20_PC_2019;PC;faible_pression;16;;inconnue;7;25/04/2019;Non;NA;NA;NA;NA;NA;NA;8.333333333;49333.33333;48952.38095;0.683397683;0.007722008
62;0.640896545;43.74366734;NA;11666.66667;10666.66667;27333.33333;8.82;60;2019;NA;31_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;02/05/2019;Limaces.Taupins;A;NA;NA;NA;NA;NA;NA;49666.66667;39000;0.55033557;0.214765101
63;-1.02778426;46.18210237;NA;45454.54545;606.0606061;11212.12121;NA;66;2019;NA;38_PC_2019;PC;faible_pression;19;confection_manuelle;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;7.974481659;57272.72727;56666.66667;0.195767196;0.010582011
64;0.937245466;43.57293581;NA;42153.84615;7692.307692;2461.538462;8.57;65;2019;NA;119_Gers_2019;GERS;faible_pression;25;confection_manuelle;argilo_calcaire;5;22/05/2019;Limaces;B;NA;NA;NA;NA;NA;6.153846154;52307.69231;44615.38462;0.047058824;0.147058824
65;0.664349318;43.74616424;NA;13666.66667;3666.666667;36000;0.79;60;2019;NA;101_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;21/05/2019;Limaces;A;NA;NA;NA;NA;NA;NA;53333.33333;49666.66667;0.675;0.06875
66;-0.50127125;46.15250449;NA;53636.36364;2424.242424;14848.48485;NA;66;2019;NA;74_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.575757576;70909.09091;68484.84848;0.209401709;0.034188034
67;0.900885834;43.60399696;NA;1000;10666.66667;43000;1.73;60;2019;NA;33_Gers_2019;GERS;faible_pression;NA;;argilo_calcaire;5;06/05/2019;Limaces;B;NA;NA;NA;NA;NA;NA;54666.66667;44000;0.786585366;0.195121951
68;0.511016054;43.96616827;NA;61333.33333;333.3333333;17666.66667;8.79;60;2019;NA;86_Gers_2019;GERS;faible_pression;20;;Limono argiluex;5;13/05/2019;Taupins;C;NA;NA;NA;NA;NA;8.333333333;79333.33333;79000;0.222689076;0.004201681
69;-0.70507933;46.25320679;NA;58000;0;5428.571429;NA;70;2019;NA;56_PC_2019;PC;faible_pression;20;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.142857143;63428.57143;63428.57143;0.085585586;0
70;-1.04079344;46.17618281;NA;30571.42857;7428.571429;20000;NA;70;2019;NA;47_PC_2019;PC;faible_pression;20;;inconnue;5;06/05/2019;Non;NA;NA;NA;NA;NA;NA;7.142857143;58000;50571.42857;0.344827586;0.128078818
71;-0.91792033;46.10228438;NA;7368.421053;26578.94737;33157.89474;NA;76;2019;NA;50_PC_2019;PC;faible_pression;25;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;5.263157895;67105.26316;40526.31579;0.494117647;0.396078431
72;-0.54059899;46.22478181;NA;40666.66667;0;26000;NA;60;2019;NA;12_PC_2019;PC;faible_pression;28;;inconnue;5;24/04/2019;Non;NA;NA;NA;NA;NA;NA;5.952380952;66666.66667;66666.66667;0.39;0
73;-0.55451341;46.09253582;NA;36000;952.3809524;9142.857143;NA;75;2019;NA;70_PC_2019;PC;faible_pression;17;;inconnue;7;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.843137255;46095.2381;45142.85714;0.198347107;0.020661157
74;-0.58800775;46.17899511;NA;43750;0;22991.07143;NA;64;2019;NA;78_PC_2019;PC;forte_pression;22;;inconnue;7;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.102272727;66741.07143;66741.07143;0.344481605;0
75;0.394136198;43.63027465;NA;31000;333.3333333;22000;2.1;60;2019;NA;110_Gers_2019;GERS;faible_pression;25;;argile limoneu;5;22/05/2019;Non;D;NA;NA;NA;NA;NA;6.666666667;53333.33333;53000;0.4125;0.00625
76;-0.70530294;46.25331403;NA;55714.28571;1428.571429;3428.571429;NA;70;2019;NA;55_PC_2019;PC;faible_pression;19;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.518796992;60571.42857;59142.85714;0.056603774;0.023584906
77;-0.50619697;46.15048282;NA;45600;5333.333333;6933.333333;NA;75;2019;NA;73_PC_2019;PC;faible_pression;23;confection_manuelle;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;5.797101449;57866.66667;52533.33333;0.119815668;0.092165899
78;-0.60711582;46.17883233;NA;6333.333333;2666.666667;46000;NA;60;2019;NA;82_PC_2019;PC;faible_pression;22;;inconnue;5;09/05/2019;Non;NA;NA;NA;NA;NA;NA;7.575757576;55000;52333.33333;0.836363636;0.048484848
79;-0.76705466;46.1336822;NA;47142.85714;3571.428571;20714.28571;NA;56;2019;NA;19_PC_2019;PC;faible_pression;25;canon_gaz.confection_manuelle.Ballon_cerfs_volants;inconnue;5;24/04/2019;Non;NA;NA;NA;NA;NA;NA;7.142857143;71428.57143;67857.14286;0.29;0.05
80;0.703642985;43.75684914;NA;34750;3500;5750;31.6;80;2019;NA;132_Gers_2019;GERS;faible_pression;NA;canon_gaz;argilo_calcaire;5;29/05/2019;Limaces;A;NA;NA;NA;NA;NA;NA;44000;40500;0.130681818;0.079545455
