parcelle;date;NDVI_moy
FDGEDA7;28/08/2022;3133
FDGEDA8;10/04/2022;2108
FDGEDA8;10/05/2022;2879
FDGEDA8;30/05/2022;3048
FDGEDA8;14/06/2022;6533
FDGEDA8;19/06/2022;6410
FDGEDA8;14/07/2022;6456
FDGEDA8;24/07/2022;5118
FDGEDA8;03/08/2022;3183
FDGEDA8;08/08/2022;2491
FDGEDA8;13/08/2022;2209
FDGEDA8;28/08/2022;2196
Lamagistere3;10/04/2022;1234
Lamagistere3;10/05/2022;1284
Lamagistere3;30/05/2022;4220
Lamagistere3;14/06/2022;7539
Lamagistere3;19/06/2022;7633
Lamagistere3;14/07/2022;8229
Lamagistere3;24/07/2022;7853
Lamagistere3;03/08/2022;5971
Lamagistere3;08/08/2022;4652
Lamagistere3;13/08/2022;3586
Lamagistere3;28/08/2022;2539
TIagen1;10/04/2022;2233
TIagen1;10/05/2022;2022
TIagen1;28/05/2022;3553
TIagen1;30/05/2022;3420
TIagen1;14/06/2022;5729
TIagen1;19/06/2022;5712
TIagen1;12/07/2022;7812
TIagen1;14/07/2022;7571
TIagen1;17/07/2022;7303
TIagen1;24/07/2022;6990
TIagen1;01/08/2022;6205
TIagen1;03/08/2022;5530
TIagen1;06/08/2022;4752
TIagen1;08/08/2022;4497
TIagen1;11/08/2022;3900
TIagen1;13/08/2022;3510
TIagen1;28/08/2022;3264
TIravard1;03/05/2022;1668
TIravard1;28/05/2022;4090
TIravard1;02/06/2022;4222
TIravard1;17/06/2022;4077
TIravard1;27/06/2022;5820
TIravard1;02/07/2022;6020
TIravard1;07/07/2022;4752
TIravard1;12/07/2022;3865
TIravard1;17/07/2022;2980
TIravard1;01/08/2022;2159
TIravard1;06/08/2022;1734
TIravard1;11/08/2022;1586
TIrosieres1;04/04/2022;4826
TIrosieres1;17/04/2022;5359
TIrosieres1;22/04/2022;5238
TIrosieres1;04/05/2022;5370
TIrosieres1;07/05/2022;5519
TIrosieres1;09/05/2022;5497
TIrosieres1;14/05/2022;5220
