parcelle;date;ndvi
tirosieres4;188;5395
tirosieres4;193;4531
tirosieres4;196;4118
tirosieres4;198;3758
tirosieres4;211;3257
tirosieres4;213;2987
tirosieres4;218;2876
tirosieres4;221;2682
tirosieres4;223;2419
tirosieres4;228;1595
tirosieres4;231;2623
tirosieres4;233;2201
tirosieres4;236;2217
tirosieres4;241;2121
tivillers5;93;1665
tivillers5;106;1798
tivillers5;111;2133
tivillers5;123;1937
tivillers5;126;2121
tivillers5;128;1799
tivillers5;133;2133
tivillers5;136;2148
tivillers5;161;6195
tivillers5;163;6417
tivillers5;168;6544
tivillers5;173;6167
tivillers5;178;5860
tivillers5;183;7384
tivillers5;188;6631
tivillers5;193;5912
tivillers5;196;5421
tivillers5;198;4790
tivillers5;211;3903
tivillers5;213;3652
tivillers5;218;3243
tivillers5;221;2893
tivillers5;223;2645
tivillers5;228;2874
tivillers5;231;2800
tivillers5;233;2579
tivillers5;236;2498
tivillers5;241;2377
tivillers6;93;1484
tivillers6;106;1676
tivillers6;111;1812
tivillers6;123;1517
tivillers6;126;1937
tivillers6;128;1681
tivillers6;133;2133
tivillers6;136;2140
tivillers6;161;7150
tivillers6;163;6709
tivillers6;168;7369
tivillers6;173;6346
tivillers6;178;7089
tivillers6;183;8263
tivillers6;188;7658
tivillers6;193;6825
tivillers6;196;6297
tivillers6;198;5737
tivillers6;211;4595
tivillers6;213;4335
tivillers6;218;3579
tivillers6;221;3027
tivillers6;223;2686
tivillers6;228;2821
tivillers6;231;2768
tivillers6;233;2508
tivillers6;236;2458
tivillers6;241;2316
tivillers7;93;1361
tivillers7;106;1590
tivillers7;111;1814
tivillers7;123;1502
tivillers7;126;1662
tivillers7;128;1529
tivillers7;133;2077
tivillers7;136;1890
tivillers7;161;7108
tivillers7;168;7338
tivillers7;178;7533
tivillers7;183;6897
tivillers7;188;6998
tivillers7;193;6329
tivillers7;196;5814
tivillers7;198;5148
tivillers7;211;3948
tivillers7;213;3729
tivillers7;218;3194
tivillers7;221;2786
tivillers7;223;2496
tivillers7;228;2573
tivillers7;231;2628
tivillers7;233;2218
tivillers7;236;2143
tivillers7;241;2258
tivillers8;93;1425
tivillers8;106;1654
tivillers8;111;2280
tivillers8;123;1721
tivillers8;126;1774
tivillers8;128;1707
tivillers8;133;2298
tivillers8;136;2312
tivillers8;161;6639
tivillers8;168;7071
tivillers8;183;7462
tivillers8;188;6634
tivillers8;193;5847
tivillers8;196;5260
tivillers8;198;4807
tivillers8;211;3930
tivillers8;213;3553
tivillers8;218;3028
tivillers8;221;2516
tivillers8;223;2224
tivillers8;228;2002
tivillers8;231;2106
tivillers8;233;1807
tivillers8;236;1835
tivillers8;241;2051
